step,id,x,y,z
5,87,0.499786,0.494059,0.502986
5,88,0.509433,0.501899,0.499237
5,89,0.495463,0.49356,0.493117
5,90,0.511743,0.507393,0.501369
5,91,0.481544,0.496326,0.512255
5,92,0.498305,0.461336,0.536661
5,93,0.501404,0.503744,0.502034
5,94,0.591524,0.512066,0.521904
5,95,0.50594,0.50506,0.495705
5,96,0.50512,0.496727,0.501683
5,97,0.488766,0.504662,0.50103
5,98,0.509672,0.494665,0.495826
5,99,0.510647,0.498361,0.505372
6,0,0.49913,0.509376,0.519995
6,1,0.505083,0.48983,0.502809
6,2,0.506987,0.495812,0.498518
6,3,0.500912,0.500555,0.501484
6,4,0.506163,0.497592,0.504711
6,5,0.484459,0.536984,0.538523
6,6,0.493108,0.493451,0.499396
6,7,0.504434,0.498906,0.498191
6,8,0.495261,0.501651,0.498008
6,9,0.495795,0.486301,0.49113
6,10,0.500532,0.511314,0.497495
6,11,0.495887,0.49227,0.499641
6,12,0.500459,0.509353,0.502743
6,13,0.50077,0.499095,0.499325
6,14,0.530484,0.533721,0.510537
6,15,0.495066,0.507342,0.47273
6,16,0.49678,0.494776,0.500954
6,17,0.499386,0.492594,0.503255
6,18,0.490691,0.506885,0.500043
6,19,0.496428,0.497799,0.499781
6,20,0.496294,0.489818,0.488328
6,21,0.49153,0.498131,0.513155
6,22,0.505343,0.495477,0.502498
6,23,0.49305,0.511276,0.492885
6,24,0.487462,0.501493,0.493442
6,25,0.495324,0.490925,0.498429
6,26,0.492478,0.504379,0.492639
6,27,0.49415,0.479506,0.5113
6,28,0.500884,0.498051,0.504748
6,29,0.505427,0.506943,0.512538
6,30,0.504804,0.494657,0.501052
6,31,0.499737,0.503022,0.493044
6,32,0.529666,0.515216,0.531922
6,33,0.498241,0.515875,0.511087
6,34,0.502173,0.495823,0.500011
6,35,0.49537,0.512896,0.503707
6,36,0.502056,0.498,0.502257
6,37,0.507858,0.500615,0.504379
6,38,0.50314,0.499175,0.506103
6,39,0.505447,0.517718,0.493516
6,40,0.511994,0.514148,0.499308
6,41,0.487832,0.486656,0.489022
6,42,0.497929,0.499289,0.50011
6,43,0.504102,0.497893,0.501051
6,44,0.49162,0.496357,0.49805
6,45,0.492632,0.49583,0.505766
6,46,0.487518,0.486323,0.496835
6,47,0.501978,0.499571,0.489685
6,48,0.504176,0.501463,0.507241
6,49,0.501875,0.503002,0.500324
6,50,0.497353,0.509522,0.504929
6,51,0.501979,0.52075,0.50202
6,52,0.512889,0.499266,0.503164
6,53,0.494463,0.508074,0.502148
6,54,0.499484,0.508256,0.501675
6,55,0.498459,0.506315,0.501827
6,56,0.507781,0.493404,0.497103
6,57,0.515967,0.512955,0.5105
6,58,0.500667,0.49927,0.502119
6,59,0.503469,0.51949,0.487044
6,60,0.494875,0.518147,0.496067
6,61,0.510118,0.5122,0.509335
6,62,0.504027,0.497482,0.504371
6,63,0.504646,0.502169,0.496607
6,64,0.508183,0.504613,0.491951
